County,Population,State,mergedkeycol,Low Access Numbers.Low Income People.1/2 Mile,Low Access Numbers.People.1/2 Mile,Percentage of Low Income People,Education.Bachelor's Degree or Higher,Education.High School or Higher,Ethnicities.Black Alone,Ethnicities.Hispanic or Latino,"Ethnicities.White Alone	 not Hispanic or Latino",Ethnicities.Asian Alone,Housing.Homeownership Rate,Housing.Median Value of Owner-Occupied Units,Income.Median Houseold Income,Miscellaneous.Foreign Born,Miscellaneous.Language Other than English at Home,Population.Population per Square Mile,Employment.Firms.Minority-Owned,Employment.Firms.Nonminority-Owned,Employment.Firms.Total,Percentage of Minority Businesses
dewittcounty,20097,tx,dewittcountytx,6406,17587,0.364246318,12.6,80.8,9.1,36.2,54.2,0.4,72.8,117100,55357,3.7,19.4,22.1,340,1504,1915,0.177545692
deafsmithcounty,19372,tx,deafsmithcountytx,5213,14074,0.370399318,12,73.8,2.3,74.2,23.2,0.6,64,91100,49701,16.9,55.5,12.9,719,566,1362,0.527900147
deltacounty,5231,tx,deltacountytx,1328,3916,0.339121553,25.1,87.8,6.7,8.9,79.5,0.7,78.2,87700,51038,1.3,4.4,20.4,0,342,372,0
dentoncounty,662614,tx,dentoncountytx,104377,496318,0.210302669,45.1,92.5,11,19.6,57.6,9.7,65.1,277800,86913,15.5,23.5,754.3,18305,43019,63243,0.289439147
dickenscounty,2444,tx,dickenscountytx,729,1766,0.412797282,18.5,84.4,5.7,30.3,61.7,1.2,76.7,51100,42540,5.1,18.4,2.7,0,122,148,0
dimmitcounty,9996,tx,dimmitcountytx,4915,8923,0.550823714,13.6,66.4,1.7,87.6,10.2,0.8,66.2,72800,27161,7.7,62.6,7.5,885,225,1156,0.765570934
donleycounty,3677,tx,donleycountytx,991,2790,0.355197133,17.9,88.7,6,11.3,80,0.6,70.3,68700,42961,2.6,5.5,4,66,236,330,0.2
duvalcounty,11782,tx,duvalcountytx,5084,9906,0.513224308,9,68.6,1.4,89.3,8.8,0.5,65.5,49400,41186,5.4,56.8,6.6,625,188,843,0.741399763
eastlandcounty,18583,tx,eastlandcountytx,7092,15024,0.472044728,16,84.4,2.2,17,78.4,0.8,76.6,73900,37276,4.6,12.9,20.1,199,1547,1830,0.108743169
ectorcounty,137130,tx,ectorcountytx,30485,95630,0.318780717,15.4,76,5.3,62.6,30.4,1.3,64.9,140500,62973,13.9,45.7,152.8,6629,7448,14829,0.447029469
edwardscounty,2002,tx,edwardscountytx,580,1367,0.424286759,18.2,72.1,1.2,55.3,42.3,0.7,85.6,69200,40766,5.9,43,0.9,151,117,293,0.515358362
elpasocounty,800647,tx,elpasocountytx,257677,542111,0.475321475,23.3,78.5,4,82.9,11.6,1.4,61.1,121500,46871,24.1,70.6,790.6,54163,10989,67321,0.804548358
elliscounty,149610,tx,elliscountytx,33260,131608,0.252720199,24.3,86.2,12.2,26.9,58.9,0.8,74.4,191400,76871,7.7,18,159.9,3413,8949,12813,0.266370093
erathcounty,37890,tx,erathcountytx,14185,34578,0.410231939,31.5,88.3,2,21.6,73.9,1,63.4,159900,52742,8.7,15.8,35,429,3143,3708,0.115695793
fallscounty,17866,tx,fallscountytx,6176,15479,0.398992183,12.4,76.9,24.2,24,50.5,0.6,72.4,75300,39497,5.6,18.6,23.3,310,702,1047,0.29608405
fannincounty,33915,tx,fannincountytx,10141,30807,0.329178433,17.4,85.5,6.5,12,78.2,0.8,73.2,123100,54648,5.3,9.7,38.1,449,1976,2597,0.172891798
fayettecounty,24554,tx,fayettecountytx,6450,21783,0.296102465,19.7,86.1,6.3,21.5,71,0.5,81.7,182100,60189,7.6,19.3,25.8,257,2138,2527,0.101701622
fishercounty,3974,tx,fishercountytx,914,2884,0.316920943,18.6,86.1,4,28.2,66.2,0.5,73.6,66900,46146,4.5,20.1,4.4,0,216,245,0
floydcounty,6446,tx,floydcountytx,1480,3549,0.417018879,15.9,74.2,4.3,58.9,36.3,0.5,74.9,64300,50580,8.6,37.2,6.5,225,331,581,0.387263339
foardcounty,1336,tx,foardcountytx,552,1336,0.413173653,16.2,81.9,4.8,18.7,74.4,0.9,83.1,46400,43625,3.9,14.9,1.9,0,113,122,0
fortbendcounty,585375,tx,fortbendcountytx,95850,445283,0.215256365,46.2,90.6,21.3,24.9,31.9,20.9,77.2,265900,97743,28.9,39.5,679.5,36256,23828,61678,0.587827102
franklincounty,10605,tx,franklincountytx,3155,10546,0.29916556,26.6,91.3,4.2,15.1,77.9,1.1,78.7,126200,53783,5.6,13.2,37.3,73,588,718,0.101671309
freestonecounty,19816,tx,freestonecountytx,7005,17881,0.391756613,15.3,82.6,15.8,16.1,66.2,0.9,77.4,111800,49471,7,14,22.6,202,1037,1331,0.15176559
friocounty,17217,tx,friocountytx,5738,13170,0.435687168,7.3,66.2,4.1,79.9,14.1,2.7,69,82200,46729,17.4,60.3,15.2,765,466,1276,0.599529781
gainescounty,17526,tx,gainescountytx,5730,13637,0.420180392,11.4,61.8,2.3,42.5,54.4,0.4,77.3,150900,63054,26.1,57.7,11.7,270,1145,1480,0.182432432
galvestoncounty,291309,tx,galvestoncountytx,62568,227897,0.27454508,31.1,89,13.2,25.4,56.7,3.5,67.5,199200,73330,9.9,20.1,769.9,7874,15972,24613,0.319912241
garzacounty,6461,tx,garzacountytx,1828,5004,0.365307754,13.9,61.6,7.4,52,39.7,0.8,70.5,78800,49627,34.8,45.5,7.2,85,462,614,0.138436482
gillespiecounty,24837,tx,gillespiecountytx,6313,21265,0.296872796,32.2,89,0.7,23.8,74.1,0.5,72.4,286900,59155,10.4,19.2,23.5,396,3236,3720,0.106451613
glasscockcounty,1226,tx,glasscockcountytx,452,1226,0.36867863,27.2,69.4,1.6,39.3,58.3,0.1,65.8,229200,78456,23.3,34.2,1.4,0,54,74,0
goliadcounty,7210,tx,goliadcountytx,1912,6319,0.302579522,17.3,83,5,35.8,58.1,0.5,80,137800,60690,4.5,19.2,8.5,144,487,673,0.213967311
gonzalescounty,19807,tx,gonzalescountytx,6539,16268,0.401954758,13.1,76.7,7.5,51.3,41.1,0.5,67.3,121300,53577,11.6,33.5,18.6,469,911,1431,0.327742837
graycounty,22535,tx,graycountytx,6666,15987,0.416963783,13.9,80.2,5.6,29.8,62,0.7,73.5,77600,47952,9.9,20,24.3,247,1455,1831,0.134898962
graysoncounty,120877,tx,graysoncountytx,33636,102656,0.327657419,20.4,88.7,6.2,14.2,74.6,1.6,67.6,137400,54815,6.3,10.9,129.6,1466,7272,9187,0.15957331
greggcounty,121730,tx,greggcountytx,39060,95707,0.408120618,21.3,84.1,20.9,19.2,57,1.4,59.1,136700,50180,9,16.6,445.4,2527,8405,11663,0.216668096
grimescounty,26604,tx,grimescountytx,9505,23371,0.406700612,15.7,80.6,15.5,24.7,58.2,0.4,76.5,148500,52913,6.8,19,33.8,487,1710,2333,0.208744106
guadalupecounty,131533,tx,guadalupecountytx,32054,119015,0.269327396,28.2,88.7,8.8,38.5,49.3,2,76.7,196000,74496,7.2,22.2,184.9,3251,6229,9841,0.330352606
halecounty,36273,tx,halecountytx,11622,28244,0.411485625,17.1,76.6,5.8,60.4,32.9,0.7,62.3,82700,48384,10.1,37,36.1,808,1615,2582,0.312935709
hallcounty,3353,tx,hallcountytx,1631,2637,0.618505878,15.9,79.6,9.1,35.1,55,0.5,65.3,52800,34673,11.5,29.6,3.8,42,193,252,0.166666667
hamiltoncounty,8517,tx,hamiltoncountytx,2433,6613,0.367911689,22.4,84,1,13.4,83.4,0.9,81.9,130800,50825,4.6,9.5,10.2,97,668,779,0.124518614
hansfordcounty,5613,tx,hansfordcountytx,1451,2950,0.491864407,15.1,67.8,1,49.3,48.5,0.4,70.5,95300,38000,27.8,43.1,6.1,67,480,626,0.107028754
hardemancounty,4139,tx,hardemancountytx,1270,3054,0.415848068,13.7,78.9,5.7,24.2,67.9,0.6,67.9,43100,41859,7.4,15.1,6,75,254,347,0.216138329
hardincounty,54635,tx,hardincountytx,13520,47926,0.282101573,16.8,88,5.6,6,86.1,0.7,81.2,124100,60339,2,5.3,61.3,439,2622,3199,0.137230384
harriscounty,4092459,tx,harriscountytx,824879,2466743,0.334400057,31.5,81.4,20,43.7,28.7,7.3,54.6,175700,61705,26.1,44.4,2402.4,252358,174023,438793,0.575118564
harrisoncounty,65631,tx,harrisoncountytx,21241,58044,0.365946523,19.1,85.3,21.1,13.6,63,0.8,72.3,130900,52220,5.4,8.2,72.9,1045,3557,4842,0.215819909
hartleycounty,6062,tx,hartleycountytx,1351,4457,0.30311869,17.8,82.6,7,27.9,63.2,0.8,62.7,167200,58298,10.1,19.9,4.1,34,509,558,0.0609319
haskellcounty,5899,tx,haskellcountytx,2008,4573,0.43909906,11.9,70.3,4.8,28.6,64.6,0.9,75.6,53900,40313,10,20.4,6.5,95,385,498,0.190763052
hayscounty,157107,tx,hayscountytx,39132,138089,0.283382456,37.2,90.1,4.6,40.1,52.5,1.7,62.3,238700,68717,8.8,25.8,231.7,4177,11316,16223,0.257473957
hemphillcounty,3807,tx,hemphillcountytx,876,2597,0.337312283,21.2,82.1,0.8,34.2,62.6,1.3,71.3,151700,70625,16.5,32.5,4.2,0,614,655,0
hendersoncounty,78532,tx,hendersoncountytx,30178,73421,0.411026818,17.3,83.5,6.4,13.6,77.4,0.7,75.2,108500,47355,4.8,10.7,89.9,699,5431,6341,0.110234979
hidalgocounty,774769,tx,hidalgocountytx,354200,608569,0.582021102,18.7,65.7,0.9,92.5,5.9,1,68,87100,40014,26.8,83.4,493.2,72857,7619,82291,0.885358059
hillcounty,35089,tx,hillcountytx,11156,30818,0.361996236,17.4,83.5,6.7,21.2,70,0.7,72.6,103800,53307,7.2,16.1,36.6,490,1773,2361,0.207539178
hockleycounty,22935,tx,hockleycountytx,7322,17685,0.414023183,15.8,76.2,4,48.7,46.2,0.5,70.5,93600,48248,8.4,31.4,25.2,397,1158,1627,0.244007376
hoodcounty,51182,tx,hoodcountytx,13457,46860,0.287174563,26.4,89.4,1.2,12.8,83.5,0.9,77.3,193500,64041,2.7,9.4,121.7,538,3982,4637,0.116023291
hopkinscounty,35161,tx,hopkinscountytx,10808,29883,0.361677208,20.1,84.9,7.4,17.4,72.8,0.7,69.6,114900,52078,7.4,13.7,45.8,300,2534,2935,0.102214651
houstoncounty,23732,tx,houstoncountytx,8861,21093,0.420091974,15.2,81.2,25.2,11.6,61.5,0.8,70,100700,37904,3.2,8.8,19.3,283,871,1218,0.232348112
howardcounty,35012,tx,howardcountytx,10612,29604,0.358465072,12.6,80,7,43.4,47.9,1.2,65.4,99000,54208,11.8,29.9,38.9,540,1534,2214,0.243902439
hudspethcounty,3476,tx,hudspethcountytx,2031,3476,0.58429229,10.7,55.5,3.8,76.9,17.2,1.6,71.9,50900,31677,38.8,74.6,0.8,182,46,235,0.774468085
huntcounty,86129,tx,huntcountytx,29954,76639,0.390845392,19.9,84.5,8.2,17.6,70.4,1.5,68.9,123300,54959,6.8,14.2,102.5,1256,4708,6271,0.200287036
hutchinsoncounty,22150,tx,hutchinsoncountytx,6004,17258,0.347896628,14,86,3,24.1,69.5,0.8,80.3,78800,52524,4.6,11.9,25,220,1213,1551,0.141843972
irioncounty,1599,tx,irioncountytx,422,1599,0.263914947,15,93.2,1.2,25.6,70.8,0.5,77.6,118300,47500,3.4,19.3,1.5,0,177,192,0
jackcounty,9044,tx,jackcountytx,2640,8114,0.325363569,13.5,82,4.1,17.4,76.6,0.6,81.3,86300,52045,5.3,12.6,9.9,74,783,878,0.08428246
jacksoncounty,14075,tx,jacksoncountytx,3358,11304,0.297062987,16.5,82.4,6.7,33.5,57.9,1.1,69.6,114000,62806,9.7,22.2,17,174,603,846,0.205673759
jaspercounty,35710,tx,jaspercountytx,11364,32633,0.348236448,12.9,85,16,6.8,74.9,0.6,77.6,100900,44370,2.8,6.6,38,610,1591,2304,0.264756944
jeffdaviscounty,2342,tx,jeffdaviscountytx,541,1901,0.284587059,30.5,78.9,1.3,32.3,62.9,1.5,81.6,111900,53088,20.9,43,1,48,128,189,0.253968254
jeffersoncounty,252273,tx,jeffersoncountytx,71179,195371,0.364327357,19.7,84.2,34.1,22.1,39.4,3.9,61.1,112800,51248,12,22.6,287.9,7958,9564,18343,0.433843973
jimhoggcounty,5300,tx,jimhoggcountytx,2292,4343,0.527745798,13.4,74.5,0.8,92.7,5.5,0.6,71.6,65000,33382,3.8,65.3,4.7,391,42,461,0.848156182
jimwellscounty,40838,tx,jimwellscountytx,14236,32918,0.432468558,12.2,74.9,1.1,80.1,18,0.6,70.6,76200,41505,5.6,47.7,47.2,2801,1077,4022,0.696419692
johnsoncounty,150934,tx,johnsoncountytx,38025,127099,0.299176233,18.7,85.7,4.2,22.6,70.1,1,73.3,155400,64359,4.2,15.8,208.3,2266,8943,11694,0.193774585
jonescounty,20202,tx,jonescountytx,5182,18512,0.279926534,11.7,78.4,13.2,28,58,0.8,74.6,82400,50344,3.5,18.5,21.8,148,988,1184,0.125
karnescounty,14824,tx,karnescountytx,4170,12283,0.339493609,15.3,75.7,9.1,56.4,34.2,0.5,74.5,102300,56127,10.8,33.2,19.8,387,682,1142,0.338879159
kaufmancounty,103350,tx,kaufmancountytx,27492,93682,0.293460857,20.5,85.8,13.9,23.3,59.8,1.5,76.6,178300,70107,7.9,17.1,132.4,1883,7125,9316,0.202125376
kendallcounty,33410,tx,kendallcountytx,5256,29996,0.175223363,42.1,92.8,1.4,24.6,71.3,1.4,74.1,348500,84747,6.6,12.8,50.4,841,4149,5328,0.157845345
kenedycounty,416,tx,kenedycountytx,160,416,0.384615385,1,26.4,4.2,73.3,20.3,1.7,23.4,24400,38021,16.4,85.5,0.3,0,0,0,
kentcounty,808,tx,kentcountytx,251,808,0.310643564,25.4,85.8,1.2,19.6,76.6,0.1,69.6,35000,44688,1.9,10.9,0.9,0,33,39,0
kerrcounty,49625,tx,kerrcountytx,15419,44424,0.34708716,27.4,88.6,2,27.4,68.3,1.2,70.7,180600,55990,7,14.8,45,1258,4373,5897,0.213328811
kimblecounty,4607,tx,kimblecountytx,1264,3203,0.394630034,22.5,85.1,0.9,24.9,72.4,0.8,76.2,149700,43328,4.1,16.8,3.7,113,647,794,0.14231738
kingcounty,286,tx,kingcountytx,64,286,0.223776224,20.9,79.7,2.6,16.9,78.7,0.8,33.8,36700,52083,17.7,33.2,0.3,0,0,0,
kinneycounty,3598,tx,kinneycountytx,1194,2242,0.532560214,12.1,78.5,2.2,62.1,34.3,0.6,76.6,68800,26738,16.2,43.9,2.6,46,122,173,0.265895954
klebergcounty,32061,tx,klebergcountytx,13503,27856,0.484742964,24.6,78.4,4.1,73.4,20,2.4,52.8,91900,43730,6.5,40.9,36.4,1192,797,2097,0.568431092
knoxcounty,3719,tx,knoxcountytx,677,1997,0.339008513,20.1,81.9,5.8,34.8,57.5,0.3,82.9,45000,48798,8.8,24.7,4.4,126,115,279,0.451612903
lasallecounty,6886,tx,lasallecountytx,2549,6611,0.385569505,7.5,63.6,1.6,87,11.1,0.4,68.7,82300,50151,7.8,60.5,4.6,412,221,657,0.627092846
lamarcounty,49793,tx,lamarcountytx,17245,41636,0.41418484,18.7,84.3,13.5,8.4,73.5,0.8,64.5,99100,45117,4,8.6,54.9,779,2737,3717,0.209577616
lambcounty,13977,tx,lambcountytx,4333,8856,0.489272809,14.4,74.9,4.6,56.1,38.9,0.5,71.5,65500,45111,9.6,41.1,13.8,343,489,915,0.374863388
lampasascounty,19677,tx,lampasascountytx,4841,17499,0.27664438,19.9,91,4.2,19.4,72.4,1.4,77.4,161600,60772,4.8,11.4,27.6,271,1036,1358,0.199558174
lavacacounty,19263,tx,lavacacountytx,5098,16816,0.303163654,16.7,85.6,6.5,19.6,72.8,0.5,74.3,162400,54403,5,16.3,19.9,316,1409,1778,0.177727784
leecounty,16612,tx,leecountytx,4745,13942,0.340338545,14.6,84.6,10.8,24.5,62.8,0.6,80.6,138700,54744,8.4,17.6,26.4,369,1377,1819,0.202858714
leoncounty,16801,tx,leoncountytx,5586,15054,0.371064169,14,81.8,7.3,15,75.8,0.7,77.4,111000,43045,5.2,11.5,15.7,168,1220,1452,0.115702479
libertycounty,75643,tx,libertycountytx,26208,70330,0.372643253,9.7,77.3,9.7,28.6,60.1,0.7,75.5,111600,51494,8.1,21.4,65.3,1446,3535,5143,0.281158857
limestonecounty,23384,tx,limestonecountytx,9242,19895,0.464538829,14.8,81.1,17.5,22.6,58.1,0.8,74.1,95400,44418,9.4,18.9,25.8,273,798,1179,0.231552163
lipscombcounty,3302,tx,lipscombcountytx,1047,3302,0.317080557,19.7,82.1,2.1,34.5,60.7,0.8,73.8,100900,59091,12.8,25.3,3.5,93,415,534,0.174157303
liveoakcounty,11531,tx,liveoakcountytx,3767,9667,0.389676218,12.2,76.9,4.8,40.8,52.9,0.8,82,104100,53848,6.2,30.5,11.1,230,718,1001,0.22977023
llanocounty,19301,tx,llanocountytx,5343,17157,0.31141808,25.3,85.8,1.2,10.8,86,0.6,78.1,194800,53411,4.2,6.4,20.7,167,2223,2450,0.068163265
lovingcounty,82,tx,lovingcountytx,15,82,0.182926829,0,80.3,3.6,13.6,81.1,1.2,63.3,127900,83750,12.2,19.5,0.1,0,0,0,
lubbockcounty,278831,tx,lubbockcountytx,78443,194145,0.40404337,30.1,86.2,7.9,36.3,52.7,2.4,55.2,140600,52429,5.9,21.6,311.3,5379,17682,24033,0.223817251
lynncounty,5915,tx,lynncountytx,1868,4230,0.441607565,17.3,75.4,2.6,46.8,49.9,0.4,68.3,84000,43382,5.5,28.9,6.6,47,237,298,0.157718121
madisoncounty,13664,tx,madisoncountytx,4414,11537,0.382595129,14.7,80.8,20.1,24.2,54.1,0.8,74.2,113100,52664,10.6,19.4,29.3,234,764,1025,0.228292683
marioncounty,10546,tx,marioncountytx,4474,9691,0.461665463,14.7,85.2,20.9,4.5,71,0.9,77.3,96500,37662,2.1,3.8,27.7,173,548,744,0.232526882
martincounty,4799,tx,martincountytx,1299,3772,0.344379639,18.3,77.4,3,47.6,48.8,0.5,73.8,148000,66610,4.1,33.8,5.2,118,211,363,0.325068871
masoncounty,4012,tx,masoncountytx,1409,3716,0.379171152,27.6,87.7,0.9,25.4,72.7,0.3,70.6,172800,42276,9,21.2,4.3,189,386,612,0.308823529
matagordacounty,36702,tx,matagordacountytx,12009,30259,0.396873657,17.4,80.6,11.3,43.3,43.3,1.9,70.7,114800,48913,10.6,30.7,33.4,1554,1658,3351,0.463742167
maverickcounty,54258,tx,maverickcountytx,22451,41016,0.547371757,12.7,59.5,0.7,95.1,2.7,0.7,65.7,97900,39625,31.5,92.3,42.4,4753,269,5164,0.920410534
mccullochcounty,8283,tx,mccullochcountytx,3009,6560,0.458689024,17.3,76.8,2.9,33,62.6,0.8,72.2,93700,47707,5.9,21.5,7.8,330,667,1050,0.314285714
mclennancounty,234906,tx,mclennancountytx,84741,203983,0.415431678,24.2,84.9,14.8,27,55.4,1.8,59.2,142800,49778,8.4,19.2,226.5,3614,11957,16570,0.218105009
mcmullencounty,707,tx,mcmullencountytx,186,707,0.263083451,28.8,92.7,2.4,42.1,53.8,0.7,75.9,110900,62000,3.1,10.6,0.6,48,115,185,0.259459459
medinacounty,46006,tx,medinacountytx,11918,42305,0.281716109,19.8,83.2,3.1,52.6,42.7,0.9,80.4,137800,62599,5.4,31.5,34.7,1105,2154,3396,0.325382803
menardcounty,2242,tx,menardcountytx,591,1442,0.409847434,18,77.9,1.7,37,59.9,0.2,69.1,59300,36395,10.2,30.5,2.5,106,181,309,0.343042071
midlandcounty,136872,tx,midlandcountytx,22846,102807,0.222222222,27.4,84.5,6.9,46,44,2.3,66.9,213100,79421,13.7,34.3,152,5906,11626,18551,0.318365587
milamcounty,24757,tx,milamcountytx,8509,19936,0.426815811,14.1,81.4,9.5,26.8,62,1,71.4,107400,47902,4.7,17.2,24.3,324,1674,2057,0.157510938
millscounty,4936,tx,millscountytx,1548,3890,0.397943445,18.3,83,1.2,18.3,79.2,0.4,85.1,140200,49306,7.1,13.2,6.6,47,307,369,0.127371274
mitchellcounty,9403,tx,mitchellcountytx,1746,8206,0.212771143,11.3,78.7,12,40.6,46.5,0.8,79,69000,51492,5,25.3,10.3,118,520,689,0.1712627
montaguecounty,19719,tx,montaguecountytx,5790,17319,0.334314914,16.9,85.7,0.8,11.2,85.4,0.5,72.4,115400,51765,4.7,10.2,21.2,60,2049,2153,0.027868091
montgomerycounty,455746,tx,montgomerycountytx,101455,388611,0.261070839,34.5,87.7,5.9,25.2,64.4,3.3,71,235800,80902,13.5,23,437.5,11284,32212,45040,0.25053286
moorecounty,21904,tx,moorecountytx,6679,15622,0.427538087,14.3,67.3,4.2,57.3,31.4,6.2,65.8,121900,54871,26.2,51.7,24.3,707,712,1492,0.47386059
morriscounty,12934,tx,morriscountytx,3836,11149,0.344066732,14.3,88.6,22.2,10.7,63.7,0.7,73,90400,41359,3.9,9.5,51.3,185,794,999,0.185185185
motleycounty,1210,tx,motleycountytx,241,828,0.291062802,16.8,87.5,3,19.3,76.3,0.2,68.3,56500,43859,0,14.7,1.2,0,87,95,0
nacogdochescounty,64524,tx,nacogdochescountytx,23354,52615,0.443865818,24.5,82.9,18.2,20,59.2,1.3,56.6,130100,44847,7.9,17,68.2,1069,2920,4199,0.254584425
navarrocounty,47735,tx,navarrocountytx,18133,42261,0.429071721,15.9,78.4,13.3,28.5,54.7,0.8,68.9,97600,48529,12.9,24.7,47.3,769,2828,3842,0.200156169
newtoncounty,14445,tx,newtoncountytx,6158,14434,0.426631564,9.7,83.4,19.7,3.9,73.3,0.6,84.6,81200,40101,1.1,2.6,15.5,243,321,579,0.419689119
nolancounty,15216,tx,nolancountytx,4201,11104,0.378332133,15.2,82.3,5.2,39.1,54.1,0.8,67.2,75500,45537,5.1,25.2,16.7,428,1081,1591,0.269013199
nuecescounty,340223,tx,nuecescountytx,95327,262988,0.362476615,21.8,82.8,4.3,64.5,28.7,2.2,58,138700,55919,8.9,35.9,405.8,15639,13294,30275,0.516564822
ochiltreecounty,10223,tx,ochiltreecountytx,2380,6309,0.377238865,15.6,74.4,1.4,55.4,41.8,0.7,73.4,102700,50464,21.1,45.8,11.1,250,623,984,0.254065041
oldhamcounty,2052,tx,oldhamcountytx,668,2052,0.325536062,22,90.3,3.7,17.1,75.9,1.4,78.5,91400,64545,3.9,12.5,1.4,50,161,219,0.228310502
orangecounty,81837,tx,orangecountytx,21817,71123,0.306750278,15.5,87.9,8.8,8.5,79.8,1.2,75.3,113500,59399,3.5,6.9,245.3,955,3615,4881,0.195656628
palopintocounty,28111,tx,palopintocountytx,9945,25737,0.386408672,16.6,84.2,2.5,20.2,74.6,1,72.7,107000,50154,7,14.7,29.5,459,2026,2582,0.177769171
panolacounty,23796,tx,panolacountytx,8676,21667,0.400424609,16.1,82.9,15.7,9.1,72.8,0.9,76.7,102200,52982,3.8,7.1,29.7,269,1223,1590,0.16918239
parkercounty,116927,tx,parkercountytx,24849,108205,0.229647428,26.4,88.6,1.7,13,82.6,0.7,78.8,214200,77503,5.1,9,129.4,1422,9219,11139,0.127659574
parmercounty,10269,tx,parmercountytx,2932,7261,0.403801129,17.9,70.8,1.8,64.7,32.9,1,66.9,97600,55359,21.4,51.6,11.7,285,288,646,0.441176471
pecoscounty,15507,tx,pecoscountytx,4915,11645,0.422069558,9.8,69.1,4.5,69,24.8,1.3,72.2,87300,52397,13.2,53.1,3.3,521,375,948,0.549578059
polkcounty,45413,tx,polkcountytx,19469,43083,0.451895179,13.1,81.6,10.1,15.5,70.9,0.8,76,110200,49279,6.4,14.2,43,577,3374,4107,0.140491843
pottercounty,121073,tx,pottercountytx,40104,89566,0.447759194,14.9,77,11.1,39.1,43.2,5.8,55.2,92500,42528,15.7,32.7,133.3,3708,6643,11213,0.330687595
presidiocounty,7818,tx,presidiocountytx,3045,4823,0.631349782,21.2,53.4,1.4,82,12.9,3.1,57.8,75100,25098,39.9,80.3,2,753,216,1016,0.741141732
rainscounty,10914,tx,rainscountytx,3019,9819,0.307465119,13.7,85.4,2.7,9.4,84.8,0.8,77.7,127900,51579,4.3,8.3,47.6,66,655,737,0.089552239
randallcounty,120725,tx,randallcountytx,19162,84087,0.227883026,32.4,92.3,3.5,23.1,70,1.8,70.8,167800,68261,5.2,11.9,132.4,1338,7835,9585,0.139593114
reagancounty,3367,tx,reagancountytx,273,1005,0.271641791,10.5,82.2,3.5,70.6,25.2,0.6,67.4,98800,74868,17.7,54.9,2.9,201,189,405,0.496296296
realcounty,3309,tx,realcountytx,1605,3309,0.485040798,17.4,83.3,1.1,27.8,68.4,0.4,76.5,113200,35862,3.6,13.6,4.7,122,397,558,0.218637993
redrivercounty,12860,tx,redrivercountytx,4909,11686,0.420075304,12.5,85.4,16.6,7,73.8,0.4,76.6,71100,39142,2.6,4.4,12.4,97,902,1019,0.095191364
reevescounty,13783,tx,reevescountytx,3446,11466,0.300540729,12.3,69.7,5.6,74.6,18.2,1.6,72.5,64800,53311,18.7,57.1,5.2,417,282,764,0.545811518
refugiocounty,7383,tx,refugiocountytx,2258,6094,0.370528389,11.5,80.3,6.3,50.6,41.8,0.9,72.8,85600,50076,1.8,28.9,9.6,291,306,645,0.451162791
robertscounty,929,tx,robertscountytx,218,929,0.234660926,25,92.7,0.1,11,86.2,0.2,79.7,133000,68750,2.6,5.3,1,0,44,46,0
robertsoncounty,16622,tx,robertsoncountytx,4801,13458,0.356739486,16.1,84.5,20.2,21.9,56.6,0.8,76.1,108600,52928,7.1,17.9,19.4,314,1176,1573,0.199618563
rockwallcounty,78337,tx,rockwallcountytx,10937,62904,0.173868116,40.7,92.7,7.4,18.6,69,3.2,81.8,266200,100920,9.1,16.4,616.7,1668,7099,9125,0.182794521
runnelscounty,10501,tx,runnelscountytx,3756,9130,0.411391019,18.1,79.2,2.6,34.8,60.6,1.4,71.1,81400,44940,4.1,12.8,10,273,843,1182,0.230964467
ruskcounty,53330,tx,ruskcountytx,16817,48026,0.350164494,15.5,80.6,17.5,17.5,63,0.7,77.8,124900,55234,7,14.5,57.7,514,1983,2642,0.194549584
sabinecounty,10834,tx,sabinecountytx,4678,10220,0.457729941,17.6,84.7,6.9,4.9,85.6,0.4,88.2,116300,34992,1.2,3.5,22,69,484,593,0.116357504
sanaugustinecounty,8865,tx,sanaugustinecountytx,3642,8436,0.431721195,14,82.3,21.3,7.7,69.1,0.4,77.5,88000,40353,2.6,4.6,16.7,105,393,511,0.205479452
sanjacintocounty,26384,tx,sanjacintocountytx,10490,24804,0.422915659,11.2,84.5,9.5,13.8,74.3,0.5,80.6,114100,41614,6,12.8,46.3,277,1331,1626,0.170356704
sanpatriciocounty,64804,tx,sanpatriciocountytx,19781,51153,0.386702637,15.6,79.9,2.1,58.5,37.6,1.2,68.3,122100,56556,5.5,35.3,93.5,2227,2552,5031,0.442655536
sansabacounty,6131,tx,sansabacountytx,1835,4646,0.394963409,14.1,74.8,4,30.6,63.4,0.6,68.4,109400,45083,8.9,23.1,5.4,152,656,858,0.177156177
schleichercounty,3461,tx,schleichercountytx,713,2454,0.290546047,16.6,79.6,1.8,54.6,42.9,0.4,78.9,77800,53229,13.9,46.1,2.6,173,159,342,0.505847953
scurrycounty,16921,tx,scurrycountytx,5441,14646,0.371500751,16.2,78.7,5.5,40.8,52.4,0.8,75.2,85500,54326,6.5,26.3,18.7,190,1025,1298,0.146379045
shackelfordcounty,3378,tx,shackelfordcountytx,888,2314,0.38375108,30.5,86.4,1.8,11.3,85.2,0.5,79.6,91400,46935,3.1,7.1,3.7,0,479,508,0
shelbycounty,25448,tx,shelbycountytx,10111,22343,0.45253547,13.8,76.4,17.8,18.7,61.3,1.4,73.6,78100,42522,8.2,18.2,32,283,1660,2031,0.139340226
